1. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Kebidanan', Min=962, Max=1203, Total=6598
2. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Penjagaan Rapi', Min=113, Max=147, Total=771
3. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Perawatan Perioperatif', Min=104, Max=160, Total=802
4. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Kesihatan Kardiovascular', Min=107, Max=136, Total=719
5. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Perawatan Onkologi', Min=0, Max=55, Total=260
6. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Perawatan Gerontologi', Min=11, Max=57, Total=158
7. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Sitologi', Min=0, Max=24, Total=58
8. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Transfusi Darah', Min=0, Max=38, Total=38
9. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Histopatologi', Min=0, Max=14, Total=14
10. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Pengimejan Perubatan (Payudara)', Min=0, Max=16, Total=50
11. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Haematologi', Min=0, Max=27, Total=70
12. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Penjagaan Paliatif', Min=17, Max=20, Total=108
13. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Perawatan Kesihatan Mental', Min=61, Max=98, Total=482
14. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Penjagaan Kecemasan', Min=235, Max=535, Total=2422
15. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Pengurusan Penjagaan Kesihatan', Min=0, Max=39, Total=119
16. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Penjagaan Respiratori', Min=0, Max=27, Total=59
17. Category=' Diploma Lanjutan', Name='Diploma Lanjutan Rehabilitasi Neuro', Min=0, Max=25, Total=30
